rank,prev_rank,name,league,off,def,spi
1,1,Liverpool,Barclays Premier League,2.89,0.22,93.3
2,3,Manchester City,Barclays Premier League,3.05,0.33,92.77
3,2,Bayern Munich,German Bundesliga,3.15,0.41,92.26
4,4,Barcelona,Spanish Primera Division,3.08,0.43,91.51
5,5,Paris Saint-Germain,French Ligue 1,2.96,0.44,90.52
6,6,Juventus,Italy Serie A,2.49,0.28,89.5
7,7,Ajax,Dutch Eredivisie,3.16,0.71,88.03
8,8,Real Madrid,Spanish Primera Division,2.7,0.56,86.52
9,10,Atletico Madrid,Spanish Primera Division,2.13,0.3,85.7
10,9,Chelsea,Barclays Premier League,2.3,0.39,85.52
11,11,Tottenham Hotspur,Barclays Premier League,2.46,0.49,85.32
12,12,Napoli,Italy Serie A,2.3,0.5,83.28
13,13,Internazionale,Italy Serie A,2.27,0.49,83.15
14,14,Sevilla FC,Spanish Primera Division,2.39,0.59,82.47
15,15,Borussia Dortmund,German Bundesliga,2.41,0.62,82.16
16,16,PSV,Dutch Eredivisie,2.79,0.9,81.33
17,17,Valencia,Spanish Primera Division,2.12,0.51,80.88
18,18,Manchester United,Barclays Premier League,2.33,0.69,79.67
19,20,Eibar,Spanish Primera Division,2.1,0.55,79.52
20,19,Arsenal,Barclays Premier League,2.34,0.73,79.0
21,21,FC Salzburg,Austrian T-Mobile Bundesliga,2.65,0.95,78.54
22,22,Atalanta,Italy Serie A,2.34,0.76,78.25
23,24,AS Roma,Italy Serie A,2.3,0.77,77.7
24,23,Real Sociedad,Spanish Primera Division,2.07,0.64,77.16
25,25,Getafe,Spanish Primera Division,1.84,0.49,77.04
26,26,FC Porto,Portuguese Liga,2.11,0.69,76.6
27,27,Lazio,Italy Serie A,2.1,0.69,76.44
28,28,RB Leipzig,German Bundesliga,2.16,0.73,76.4
29,29,Real Betis,Spanish Primera Division,1.88,0.57,75.72
30,33,Leganes,Spanish Primera Division,1.79,0.53,75.19
31,30,Young Boys,Swiss Raiffeisen Super League,2.64,1.13,75.13
32,31,TSG Hoffenheim,German Bundesliga,2.42,0.97,75.11
33,32,Eintracht Frankfurt,German Bundesliga,2.13,0.79,74.7
34,34,AC Milan,Italy Serie A,1.91,0.65,74.37
35,36,Athletic Bilbao,Spanish Primera Division,1.88,0.64,74.21
36,38,Benfica,Portuguese Liga,2.1,0.79,74.0
37,40,Alavés,Spanish Primera Division,1.84,0.63,73.66
38,35,Lyon,French Ligue 1,2.05,0.78,73.55
39,37,Shakhtar Donetsk,UEFA Europa League,2.19,0.88,73.5
40,41,Espanyol,Spanish Primera Division,1.95,0.73,73.02
41,39,CSKA Moscow,Russian Premier Liga,1.73,0.58,72.98
42,42,Fiorentina,Italy Serie A,1.84,0.67,72.6
43,43,Bayer Leverkusen,German Bundesliga,2.19,0.93,72.5
44,46,Villarreal,Spanish Primera Division,2.07,0.85,72.2
45,45,Schalke 04,German Bundesliga,1.91,0.74,72.11
46,65,PAOK Salonika,Greek Super League,1.9,0.75,71.63
47,47,Club Brugge,Belgian Jupiler League,2.15,0.94,71.48
48,44,Celta Vigo,Spanish Primera Division,2.09,0.9,71.47
49,49,Dynamo Kiev,UEFA Europa League,2.03,0.86,71.22
50,52,FC Krasnodar,Russian Premier Liga,1.88,0.77,71.0
51,53,Borussia Monchengladbach,German Bundesliga,2.11,0.94,70.95
52,51,Everton,Barclays Premier League,1.94,0.81,70.94
53,48,Leicester City,Barclays Premier League,1.78,0.7,70.77
54,54,Watford,Barclays Premier League,2.02,0.88,70.69
55,50,Crystal Palace,Barclays Premier League,1.76,0.71,70.32
56,61,Olympiacos,Greek Super League,1.83,0.78,69.88
57,58,Palmeiras,Brasileiro Série A,1.73,0.71,69.61
58,59,Genk,Belgian Jupiler League,2.01,0.93,69.45
59,60,Torino,Italy Serie A,1.75,0.73,69.44
60,55,Girona FC,Spanish Primera Division,1.88,0.83,69.37
61,57,SD Huesca,Spanish Primera Division,1.92,0.87,69.21
62,62,FC Midtjylland,Danish SAS-Ligaen,2.24,1.13,68.9
